Image,PSNR,SSIM,NCC,Watermark Image
,,,,
,,,,
COVID-1.png,9.804721042,0.937552574,0.99573535,2.png
,,,,
COVID-11.png,7.900407348,0.93659065,0.99232054,7.png
,,,,
COVID-12.png,8.399673516,0.890275302,0.9823581,1.png
,,,,
COVID-13.png,9.911967366,0.951656502,0.9974683,4.png
,,,,
COVID-14.png,8.328217067,0.916085784,0.9906808,5.png
,,,,
COVID-15.png,3.212700203,0.643976907,0.06853303,3.png
,,,,
COVID-15.png,5.130401484,0.773819846,0.22194971,3.png
,,,,
,,,,
,,,,
COVID-15.png,8.591550173,0.917626716,0.98953164,6.png
,,,,
"Vietnam_coronavirus.png
",9.838677668,0.937427437,0.99574363,2.png
,,,,
"Vietnam_coronavirus.png

 ",10.95984419,0.924402179,0.9961164,4.jpeg
,,,,
"COVID-00003b.jpg
",10.215,0.942, 0.996,4.jpeg
,,,,
,,,,
COVID-100.png,8.798359,0.924736813,0.9964748,WM1.png
,,,,
COVID-101.png,1.98223623,0.207718008,-0.43548623,WM6.png
,,,,
COVID-102.png,9.804721042,0.937552574,0.99573535,2.png
,,,,
COVID-103.png,15.46208741,0.959220925,0.9995671,WM6.png
,,,,
COVID-104.png,11.39701759,0.917963705,0.9934749,WM8.png
